PERMNO,date,TICKER,COMNAM,PRC
10107,20050103,MSFT,MICROSOFT CORP,26.74
10107,20050104,MSFT,MICROSOFT CORP,26.84
10107,20050105,MSFT,MICROSOFT CORP,26.78
10107,20050106,MSFT,MICROSOFT CORP,26.75
10107,20050107,MSFT,MICROSOFT CORP,26.67
10107,20050110,MSFT,MICROSOFT CORP,26.8
10107,20050111,MSFT,MICROSOFT CORP,26.73
10107,20050112,MSFT,MICROSOFT CORP,26.78
10107,20050113,MSFT,MICROSOFT CORP,26.27
10107,20050114,MSFT,MICROSOFT CORP,26.12
10107,20050118,MSFT,MICROSOFT CORP,26.32
10107,20050119,MSFT,MICROSOFT CORP,25.98
10107,20050120,MSFT,MICROSOFT CORP,25.86
10107,20050121,MSFT,MICROSOFT CORP,25.65
10107,20050124,MSFT,MICROSOFT CORP,25.67
10107,20050125,MSFT,MICROSOFT CORP,26.02
10107,20050126,MSFT,MICROSOFT CORP,26.01
10107,20050127,MSFT,MICROSOFT CORP,26.11
10107,20050128,MSFT,MICROSOFT CORP,26.18
10107,20050131,MSFT,MICROSOFT CORP,26.28
10107,20050201,MSFT,MICROSOFT CORP,26.39
10107,20050202,MSFT,MICROSOFT CORP,26.46
10107,20050203,MSFT,MICROSOFT CORP,26.18
10107,20050204,MSFT,MICROSOFT CORP,26.32
10107,20050207,MSFT,MICROSOFT CORP,26.16
10107,20050208,MSFT,MICROSOFT CORP,26.24
10107,20050209,MSFT,MICROSOFT CORP,26.07
10107,20050210,MSFT,MICROSOFT CORP,26.06
10107,20050211,MSFT,MICROSOFT CORP,25.97
10107,20050214,MSFT,MICROSOFT CORP,26.01
10107,20050215,MSFT,MICROSOFT CORP,25.93
10107,20050216,MSFT,MICROSOFT CORP,25.79
10107,20050217,MSFT,MICROSOFT CORP,25.65
10107,20050218,MSFT,MICROSOFT CORP,25.48
10107,20050222,MSFT,MICROSOFT CORP,25.23
10107,20050223,MSFT,MICROSOFT CORP,25.2
10107,20050224,MSFT,MICROSOFT CORP,25.37
10107,20050225,MSFT,MICROSOFT CORP,25.25
10107,20050228,MSFT,MICROSOFT CORP,25.16
10107,20050301,MSFT,MICROSOFT CORP,25.28
10107,20050302,MSFT,MICROSOFT CORP,25.26
10107,20050303,MSFT,MICROSOFT CORP,25.17
10107,20050304,MSFT,MICROSOFT CORP,25.17
10107,20050307,MSFT,MICROSOFT CORP,25.47
10107,20050308,MSFT,MICROSOFT CORP,25.4
10107,20050309,MSFT,MICROSOFT CORP,25.31
10107,20050310,MSFT,MICROSOFT CORP,25.43
10107,20050311,MSFT,MICROSOFT CORP,25.09
10107,20050314,MSFT,MICROSOFT CORP,25.11
10107,20050315,MSFT,MICROSOFT CORP,24.91
10107,20050316,MSFT,MICROSOFT CORP,24.63
10107,20050317,MSFT,MICROSOFT CORP,24.54
10107,20050318,MSFT,MICROSOFT CORP,24.31
10107,20050321,MSFT,MICROSOFT CORP,24.2
10107,20050322,MSFT,MICROSOFT CORP,23.99
10107,20050323,MSFT,MICROSOFT CORP,24.18
10107,20050324,MSFT,MICROSOFT CORP,24.28
10107,20050328,MSFT,MICROSOFT CORP,24.2
10107,20050329,MSFT,MICROSOFT CORP,23.92
10107,20050330,MSFT,MICROSOFT CORP,24.16
10107,20050331,MSFT,MICROSOFT CORP,24.17
10107,20050401,MSFT,MICROSOFT CORP,24.12
10107,20050404,MSFT,MICROSOFT CORP,24.23
10107,20050405,MSFT,MICROSOFT CORP,24.47
10107,20050406,MSFT,MICROSOFT CORP,24.67
10107,20050407,MSFT,MICROSOFT CORP,25.1
10107,20050408,MSFT,MICROSOFT CORP,24.94
10107,20050411,MSFT,MICROSOFT CORP,24.97
10107,20050412,MSFT,MICROSOFT CORP,25.32
10107,20050413,MSFT,MICROSOFT CORP,25.04
10107,20050414,MSFT,MICROSOFT CORP,24.84
10107,20050415,MSFT,MICROSOFT CORP,24.46
10107,20050418,MSFT,MICROSOFT CORP,24.65
10107,20050419,MSFT,MICROSOFT CORP,24.63
10107,20050420,MSFT,MICROSOFT CORP,24.32
10107,20050421,MSFT,MICROSOFT CORP,25.28
10107,20050422,MSFT,MICROSOFT CORP,24.98
10107,20050425,MSFT,MICROSOFT CORP,24.99
10107,20050426,MSFT,MICROSOFT CORP,24.76
10107,20050427,MSFT,MICROSOFT CORP,24.99
10107,20050428,MSFT,MICROSOFT CORP,24.45
10107,20050429,MSFT,MICROSOFT CORP,25.3
10107,20050502,MSFT,MICROSOFT CORP,25.23
10107,20050503,MSFT,MICROSOFT CORP,25.36
10107,20050504,MSFT,MICROSOFT CORP,25.21
10107,20050505,MSFT,MICROSOFT CORP,25.23
10107,20050506,MSFT,MICROSOFT CORP,25.22
10107,20050509,MSFT,MICROSOFT CORP,25.11
10107,20050510,MSFT,MICROSOFT CORP,24.9
10107,20050511,MSFT,MICROSOFT CORP,24.91
10107,20050512,MSFT,MICROSOFT CORP,25
10107,20050513,MSFT,MICROSOFT CORP,25.3
10107,20050516,MSFT,MICROSOFT CORP,25.49
10107,20050517,MSFT,MICROSOFT CORP,25.46
10107,20050518,MSFT,MICROSOFT CORP,25.7
10107,20050519,MSFT,MICROSOFT CORP,25.92
10107,20050520,MSFT,MICROSOFT CORP,25.74
10107,20050523,MSFT,MICROSOFT CORP,25.85
10107,20050524,MSFT,MICROSOFT CORP,25.75
10107,20050525,MSFT,MICROSOFT CORP,25.71
10107,20050526,MSFT,MICROSOFT CORP,25.9
10107,20050527,MSFT,MICROSOFT CORP,26.07
10107,20050531,MSFT,MICROSOFT CORP,25.8
10107,20050601,MSFT,MICROSOFT CORP,25.84
10107,20050602,MSFT,MICROSOFT CORP,25.79
10107,20050603,MSFT,MICROSOFT CORP,25.43
10107,20050606,MSFT,MICROSOFT CORP,25.37
10107,20050607,MSFT,MICROSOFT CORP,25.51
10107,20050608,MSFT,MICROSOFT CORP,25.4
10107,20050609,MSFT,MICROSOFT CORP,25.51
10107,20050610,MSFT,MICROSOFT CORP,25.43
10107,20050613,MSFT,MICROSOFT CORP,25.31
10107,20050614,MSFT,MICROSOFT CORP,25.36
10107,20050615,MSFT,MICROSOFT CORP,25.26
10107,20050616,MSFT,MICROSOFT CORP,25.04
10107,20050617,MSFT,MICROSOFT CORP,25.04
10107,20050620,MSFT,MICROSOFT CORP,25.11
10107,20050621,MSFT,MICROSOFT CORP,25.15
10107,20050622,MSFT,MICROSOFT CORP,25.07
10107,20050623,MSFT,MICROSOFT CORP,25.31
10107,20050624,MSFT,MICROSOFT CORP,25.04
10107,20050627,MSFT,MICROSOFT CORP,25.05
10107,20050628,MSFT,MICROSOFT CORP,25.07
10107,20050629,MSFT,MICROSOFT CORP,25.09
10107,20050630,MSFT,MICROSOFT CORP,24.84
10107,20050701,MSFT,MICROSOFT CORP,24.71
10107,20050705,MSFT,MICROSOFT CORP,24.98
10107,20050706,MSFT,MICROSOFT CORP,24.7
10107,20050707,MSFT,MICROSOFT CORP,24.65
10107,20050708,MSFT,MICROSOFT CORP,25.09
10107,20050711,MSFT,MICROSOFT CORP,25.29
10107,20050712,MSFT,MICROSOFT CORP,25.61
10107,20050713,MSFT,MICROSOFT CORP,25.66
10107,20050714,MSFT,MICROSOFT CORP,25.97
10107,20050715,MSFT,MICROSOFT CORP,25.79
10107,20050718,MSFT,MICROSOFT CORP,25.55
10107,20050719,MSFT,MICROSOFT CORP,26.16
10107,20050720,MSFT,MICROSOFT CORP,26.19
10107,20050721,MSFT,MICROSOFT CORP,26.44
10107,20050722,MSFT,MICROSOFT CORP,25.68
10107,20050725,MSFT,MICROSOFT CORP,25.69
10107,20050726,MSFT,MICROSOFT CORP,25.54
10107,20050727,MSFT,MICROSOFT CORP,25.72
10107,20050728,MSFT,MICROSOFT CORP,25.75
10107,20050729,MSFT,MICROSOFT CORP,25.61
10107,20050801,MSFT,MICROSOFT CORP,25.92
10107,20050802,MSFT,MICROSOFT CORP,26.81
10107,20050803,MSFT,MICROSOFT CORP,27.25
10107,20050804,MSFT,MICROSOFT CORP,27.32
10107,20050805,MSFT,MICROSOFT CORP,27.76
10107,20050808,MSFT,MICROSOFT CORP,27.13
10107,20050809,MSFT,MICROSOFT CORP,27.35
10107,20050810,MSFT,MICROSOFT CORP,26.95
10107,20050811,MSFT,MICROSOFT CORP,27.27
10107,20050812,MSFT,MICROSOFT CORP,27.05
10107,20050815,MSFT,MICROSOFT CORP,27.13
10107,20050816,MSFT,MICROSOFT CORP,26.74
10107,20050817,MSFT,MICROSOFT CORP,26.95
10107,20050818,MSFT,MICROSOFT CORP,26.82
10107,20050819,MSFT,MICROSOFT CORP,26.72
10107,20050822,MSFT,MICROSOFT CORP,26.91
10107,20050823,MSFT,MICROSOFT CORP,26.87
10107,20050824,MSFT,MICROSOFT CORP,26.81
10107,20050825,MSFT,MICROSOFT CORP,27.03
10107,20050826,MSFT,MICROSOFT CORP,26.97
10107,20050829,MSFT,MICROSOFT CORP,27.15
10107,20050830,MSFT,MICROSOFT CORP,27.18
10107,20050831,MSFT,MICROSOFT CORP,27.38
10107,20050901,MSFT,MICROSOFT CORP,27.2
10107,20050902,MSFT,MICROSOFT CORP,27.02
10107,20050906,MSFT,MICROSOFT CORP,27
10107,20050907,MSFT,MICROSOFT CORP,26.85
10107,20050908,MSFT,MICROSOFT CORP,26.61
10107,20050909,MSFT,MICROSOFT CORP,26.58
10107,20050912,MSFT,MICROSOFT CORP,26.61
10107,20050913,MSFT,MICROSOFT CORP,26.48
10107,20050914,MSFT,MICROSOFT CORP,26.31
10107,20050915,MSFT,MICROSOFT CORP,26.27
10107,20050916,MSFT,MICROSOFT CORP,26.07
10107,20050919,MSFT,MICROSOFT CORP,26
10107,20050920,MSFT,MICROSOFT CORP,25.84
10107,20050921,MSFT,MICROSOFT CORP,25.49
10107,20050922,MSFT,MICROSOFT CORP,25.34
10107,20050923,MSFT,MICROSOFT CORP,25.27
10107,20050926,MSFT,MICROSOFT CORP,25.27
10107,20050927,MSFT,MICROSOFT CORP,25.34
10107,20050928,MSFT,MICROSOFT CORP,25.67
10107,20050929,MSFT,MICROSOFT CORP,25.94
10107,20050930,MSFT,MICROSOFT CORP,25.73
10107,20051003,MSFT,MICROSOFT CORP,25.5
10107,20051004,MSFT,MICROSOFT CORP,24.98
10107,20051005,MSFT,MICROSOFT CORP,24.67
10107,20051006,MSFT,MICROSOFT CORP,24.73
10107,20051007,MSFT,MICROSOFT CORP,24.59
10107,20051010,MSFT,MICROSOFT CORP,24.46
10107,20051011,MSFT,MICROSOFT CORP,24.41
10107,20051012,MSFT,MICROSOFT CORP,24.3
10107,20051013,MSFT,MICROSOFT CORP,24.59
10107,20051014,MSFT,MICROSOFT CORP,24.67
10107,20051017,MSFT,MICROSOFT CORP,24.53
10107,20051018,MSFT,MICROSOFT CORP,24.57
10107,20051019,MSFT,MICROSOFT CORP,25.09
10107,20051020,MSFT,MICROSOFT CORP,24.79
10107,20051021,MSFT,MICROSOFT CORP,24.78
10107,20051024,MSFT,MICROSOFT CORP,25.1
10107,20051025,MSFT,MICROSOFT CORP,25.03
10107,20051026,MSFT,MICROSOFT CORP,25.1101
10107,20051027,MSFT,MICROSOFT CORP,24.85
10107,20051028,MSFT,MICROSOFT CORP,25.53
10107,20051031,MSFT,MICROSOFT CORP,25.7
10107,20051101,MSFT,MICROSOFT CORP,25.96
10107,20051102,MSFT,MICROSOFT CORP,26.46
10107,20051103,MSFT,MICROSOFT CORP,26.44
10107,20051104,MSFT,MICROSOFT CORP,26.66
10107,20051107,MSFT,MICROSOFT CORP,27.01
10107,20051108,MSFT,MICROSOFT CORP,27.0495
10107,20051109,MSFT,MICROSOFT CORP,26.96
10107,20051110,MSFT,MICROSOFT CORP,27.09
10107,20051111,MSFT,MICROSOFT CORP,27.28
10107,20051114,MSFT,MICROSOFT CORP,27.35
10107,20051115,MSFT,MICROSOFT CORP,27.5
10107,20051116,MSFT,MICROSOFT CORP,27.74
10107,20051117,MSFT,MICROSOFT CORP,27.97
10107,20051118,MSFT,MICROSOFT CORP,28.07
10107,20051121,MSFT,MICROSOFT CORP,28.16
10107,20051122,MSFT,MICROSOFT CORP,27.91
10107,20051123,MSFT,MICROSOFT CORP,27.92
10107,20051125,MSFT,MICROSOFT CORP,27.76
10107,20051128,MSFT,MICROSOFT CORP,27.75
10107,20051129,MSFT,MICROSOFT CORP,27.68
10107,20051130,MSFT,MICROSOFT CORP,27.68
10107,20051201,MSFT,MICROSOFT CORP,27.89
10107,20051202,MSFT,MICROSOFT CORP,28.01
10107,20051205,MSFT,MICROSOFT CORP,27.85
10107,20051206,MSFT,MICROSOFT CORP,27.69
